Ticker Symbol,Number of Anomalies,Predicted Total Revenue,Predicted Net Income,Predicted Total Assets,Predicted Earnings Per Share,Total Revenue Y1,Total Revenue Y2,Total Revenue Y3,Total Revenue Y4,Net Income Y1,Net Income Y2,Net Income Y3,Net Income Y4,Total Assets Y1,Total Assets Y2,Total Assets Y3,Total Assets Y4,Earnings Per Share Y1,Earnings Per Share Y2,Earnings Per Share Y3,Earnings Per Share Y4
IBM,0,77341517720.9041,12417957167.2305,109711471984.96686,13.74089783827633,102874000000.0,98367000000.0,92793000000.0,81741000000.0,16604000000.0,16483000000.0,12022000000.0,13190000000.0,119213000000.0,126223000000.0,117271000000.0,110495000000.0,14.53,15.06,11.97,13.48
IDXX,0,1704661591.4778233,185824752.92540354,1570319643.4566586,2.60323808394973,1293338000.0,1377058000.0,1485807000.0,1601892000.0,178267000.0,187800000.0,181906000.0,192078000.0,1103602000.0,1230516000.0,1384211000.0,1474993000.0,3.24,3.53,3.63,2.07
IFF,1,3031055310.369609,423964294.9982509,3878933307.1613398,5.0564902543187165,2821446000.0,2952896000.0,3088533000.0,3023189000.0,254134000.0,353544000.0,414543000.0,419247000.0,3246192000.0,3331731000.0,3494621000.0,3721454000.0,3.11,4.32,5.09,5.19
IP,0,22271487039.028885,779629413.5191617,30384745111.958885,2.0984425076889166,21852000000.0,23483000000.0,23617000000.0,22365000000.0,794000000.0,1395000000.0,555000000.0,938000000.0,32153000000.0,31528000000.0,28684000000.0,30587000000.0,1.82,3.15,1.3,2.25
IPG,0,7781163694.055123,499105936.217993,12554791574.584862,0.9614268192318596,6956200000.0,7122300000.0,7537100000.0,7613800000.0,446700000.0,267900000.0,477100000.0,454600000.0,13493900000.0,12905000000.0,12736600000.0,12585100000.0,1.01,0.62,1.14,1.11
IRM,0,3008692479.925272,306567365.32102394,6340778070.115957,1.2087467182366827,3003955000.0,3024623000.0,3117693000.0,3007976000.0,170922000.0,96462000.0,326119000.0,123241000.0,6358339000.0,6653005000.0,6523265000.0,6350587000.0,0.99,0.51,1.67,0.58
IVZ,0,5189538899.992706,959462704.2779261,27559285043.596245,2.301812400223105,4050400000.0,4644600000.0,5147100000.0,5122900000.0,587300000.0,940300000.0,988100000.0,968100000.0,17492400000.0,19270500000.0,20450000000.0,25073200000.0,1.5,2.1,2.27,2.26
JBHT,1,6308142379.574545,466058013.7144228,3963534098.998771,4.113585229194134,5054980000.0,5584571000.0,6165441000.0,6187646000.0,310354000.0,342382000.0,374792000.0,427235000.0,2464641000.0,2819404000.0,3378486000.0,3636567000.0,2.64,2.92,3.2,3.69
JNPR,1,4766737228.373115,-353810756.0462589,8164196231.213894,-0.5591703965300154,4365400000.0,4669100000.0,4627100000.0,4857800000.0,186500000.0,439800000.0,-334300000.0,633700000.0,9832100000.0,10326000000.0,8281400000.0,8619200000.0,0.36,0.88,-0.73,1.62
JPM,1,89178683199.46323,24288064704.063145,2348653273937.261,5.738911026585186,93646000000.0,97142000000.0,91973000000.0,89716000000.0,21284000000.0,17886000000.0,21745000000.0,24442000000.0,2359141000000.0,2415689000000.0,2572274000000.0,2351698000000.0,5.22,4.39,5.34,6.05
KIM,1,1290181403.088806,1168820978.4928195,11336529502.606012,3.1324373196443736,793373000.0,861527000.0,993897000.0,1166769000.0,266073000.0,236281000.0,424001000.0,894115000.0,9751234000.0,9663630000.0,10261400000.0,11344171000.0,0.42,0.43,0.89,2.01
KO,0,43205645842.46577,7062991554.389082,90064207380.57185,1.7057243150287962,48017000000.0,46854000000.0,45998000000.0,44294000000.0,9019000000.0,8584000000.0,7098000000.0,7351000000.0,86174000000.0,90055000000.0,92023000000.0,90093000000.0,2.0,1.94,1.62,1.69
LEG,0,4083388228.1039224,167321288.29034203,3082859469.511408,1.0067613567598612,3414500000.0,3477200000.0,3782300000.0,3917200000.0,250500000.0,199700000.0,101200000.0,329200000.0,3254900000.0,3108100000.0,3140600000.0,2967600000.0,1.72,1.36,0.69,2.31
LH,1,9616759712.595858,411664167.7464974,15986140781.021353,6.253756821603953,5671400000.0,5808300000.0,6011600000.0,8680100000.0,583100000.0,573800000.0,511200000.0,436900000.0,6795000000.0,6965900000.0,7301800000.0,14221700000.0,6.09,6.36,6.225,6.225
